EmployeeNumber,Age,Gender,Edu,Education,MaritalStatus,Over18,Department,BusinessTravel,DistanceFromHome,EducationField,EmployeeCount,StandardHours
419,36,Female,5,Doctor,Single,Y,Research & Development,Travel_Rarely,9,Other,1,80
420,32,Male,3,Bachelor,Divorced,Y,Sales,Travel_Rarely,5,Marketing,1,80
421,38,Female,2,College,Divorced,Y,Research & Development,Travel_Rarely,5,Medical,1,80
422,58,Male,2,College,Divorced,Y,Research & Development,Travel_Rarely,15,Life Sciences,1,80
423,31,Male,1,Below College,Divorced,Y,Sales,Travel_Rarely,10,Marketing,1,80
424,31,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,6,Medical,1,80
425,45,Male,1,Below College,Single,Y,Sales,Travel_Frequently,4,Medical,1,80
426,31,Male,5,Doctor,Single,Y,Research & Development,Travel_Rarely,23,Life Sciences,1,80
428,33,Female,3,Bachelor,Married,Y,Sales,Non-Travel,2,Life Sciences,1,80
429,39,Male,1,Below College,Divorced,Y,Human Resources,Travel_Rarely,2,Technical Degree,1,80
430,43,Female,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,2,Medical,1,80
431,49,Female,1,Below College,Married,Y,Sales,Travel_Rarely,29,Medical,1,80
433,52,Male,3,Bachelor,Divorced,Y,Research & Development,Travel_Rarely,6,Medical,1,80
434,27,Female,2,College,Married,Y,Sales,Non-Travel,25,Technical Degree,1,80
436,32,Female,3,Bachelor,Married,Y,Sales,Travel_Rarely,1,Life Sciences,1,80
437,27,Male,4,Master,Single,Y,Research & Development,Travel_Rarely,2,Other,1,80
438,31,Male,5,Doctor,Single,Y,Sales,Non-Travel,1,Medical,1,80
439,32,Female,4,Master,Married,Y,Sales,Travel_Frequently,3,Medical,1,80
440,28,Male,4,Master,Married,Y,Research & Development,Travel_Rarely,1,Medical,1,80
441,30,Female,4,Master,Married,Y,Research & Development,Travel_Rarely,10,Life Sciences,1,80
442,31,Female,2,College,Single,Y,Sales,Non-Travel,9,Medical,1,80
444,39,Male,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,10,Medical,1,80
445,39,Female,4,Master,Married,Y,Research & Development,Non-Travel,7,Medical,1,80
446,33,Male,3,Bachelor,Single,Y,Sales,Travel_Frequently,4,Marketing,1,80
447,47,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,10,Technical Degree,1,80
448,43,Female,2,College,Married,Y,Sales,Travel_Rarely,22,Marketing,1,80
449,27,Male,4,Master,Single,Y,Research & Development,Travel_Rarely,9,Life Sciences,1,80
450,54,Female,3,Bachelor,Single,Y,Sales,Travel_Rarely,12,Life Sciences,1,80
451,43,Female,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,23,Life Sciences,1,80
452,45,Male,2,College,Divorced,Y,Research & Development,Travel_Rarely,1,Medical,1,80
453,40,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,7,Other,1,80
454,29,Male,2,College,Married,Y,Sales,Travel_Rarely,14,Life Sciences,1,80
455,29,Male,3,Bachelor,Single,Y,Sales,Non-Travel,19,Marketing,1,80
456,30,Female,4,Master,Divorced,Y,Sales,Travel_Rarely,10,Marketing,1,80
458,27,Female,1,Below College,Married,Y,Sales,Travel_Rarely,2,Technical Degree,1,80
460,37,Male,1,Below College,Single,Y,Research & Development,Travel_Frequently,3,Technical Degree,1,80
461,38,Male,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,11,Medical,1,80
462,31,Female,2,College,Married,Y,Sales,Travel_Rarely,2,Medical,1,80
463,29,Female,3,Bachelor,Single,Y,Research & Development,Travel_Frequently,4,Technical Degree,1,80
464,35,Male,2,College,Divorced,Y,Sales,Travel_Rarely,2,Marketing,1,80
465,23,Male,4,Master,Single,Y,Research & Development,Travel_Rarely,10,Life Sciences,1,80
466,41,Male,3,Bachelor,Divorced,Y,Research & Development,Travel_Rarely,12,Life Sciences,1,80
467,47,Male,2,College,Married,Y,Research & Development,Travel_Rarely,5,Medical,1,80
468,42,Female,4,Master,Married,Y,Sales,Non-Travel,4,Marketing,1,80
469,29,Male,2,College,Married,Y,Research & Development,Travel_Rarely,7,Medical,1,80
470,42,Male,3,Bachelor,Married,Y,Research & Development,Travel_Frequently,21,Medical,1,80
471,32,Female,4,Master,Divorced,Y,Research & Development,Travel_Rarely,8,Other,1,80
473,48,Female,2,College,Single,Y,Sales,Travel_Rarely,4,Life Sciences,1,80
474,37,Male,5,Doctor,Married,Y,Research & Development,Non-Travel,25,Medical,1,80
475,30,Female,2,College,Married,Y,Research & Development,Travel_Rarely,1,Life Sciences,1,80
476,26,Male,1,Below College,Divorced,Y,Research & Development,Travel_Frequently,1,Life Sciences,1,80
477,42,Male,3,Bachelor,Married,Y,Sales,Travel_Frequently,6,Life Sciences,1,80
478,21,Female,3,Bachelor,Single,Y,Sales,Travel_Rarely,12,Technical Degree,1,80
479,36,Female,3,Bachelor,Married,Y,Sales,Travel_Rarely,1,Marketing,1,80
481,36,Male,2,College,Divorced,Y,Research & Development,Travel_Rarely,17,Medical,1,80
482,57,Male,2,College,Married,Y,Research & Development,Travel_Rarely,10,Life Sciences,1,80
483,40,Female,2,College,Married,Y,Research & Development,Travel_Rarely,4,Life Sciences,1,80
484,21,Male,2,College,Divorced,Y,Research & Development,Travel_Frequently,29,Life Sciences,1,80
485,33,Female,3,Bachelor,Divorced,Y,Research & Development,Travel_Rarely,18,Medical,1,80
486,37,Female,4,Master,Married,Y,Research & Development,Travel_Frequently,28,Technical Degree,1,80
487,46,Female,1,Below College,Single,Y,Sales,Travel_Rarely,1,Technical Degree,1,80
488,41,Male,2,College,Divorced,Y,Sales,Travel_Frequently,6,Marketing,1,80
491,50,Male,2,College,Married,Y,Research & Development,Travel_Frequently,2,Life Sciences,1,80
492,40,Male,3,Bachelor,Divorced,Y,Research & Development,Travel_Rarely,23,Life Sciences,1,80
493,31,Male,3,Bachelor,Married,Y,Research & Development,Non-Travel,3,Life Sciences,1,80
494,21,Female,5,Doctor,Married,Y,Research & Development,Travel_Rarely,25,Technical Degree,1,80
495,29,Male,2,College,Single,Y,Human Resources,Travel_Rarely,2,Technical Degree,1,80
496,35,Male,4,Master,Married,Y,Sales,Non-Travel,22,Other,1,80
497,27,Male,3,Bachelor,Divorced,Y,Sales,Travel_Rarely,29,Marketing,1,80
498,28,Male,4,Master,Married,Y,Research & Development,Travel_Rarely,29,Life Sciences,1,80
499,49,Male,3,Bachelor,Single,Y,Research & Development,Non-Travel,2,Medical,1,80
500,51,Female,3,Bachelor,Married,Y,Sales,Travel_Frequently,28,Marketing,1,80
501,36,Female,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,22,Life Sciences,1,80
502,34,Male,3,Bachelor,Married,Y,Sales,Travel_Rarely,10,Marketing,1,80
505,55,Female,1,Below College,Divorced,Y,Research & Development,Travel_Rarely,9,Life Sciences,1,80
507,24,Female,1,Below College,Married,Y,Research & Development,Travel_Rarely,15,Medical,1,80
508,30,Male,1,Below College,Divorced,Y,Research & Development,Travel_Rarely,10,Medical,1,80
510,26,Male,1,Below College,Single,Y,Sales,Travel_Rarely,7,Marketing,1,80
511,22,Female,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,16,Life Sciences,1,80
513,36,Male,3,Bachelor,Married,Y,Research & Development,Travel_Frequently,20,Life Sciences,1,80
514,30,Male,3,Bachelor,Divorced,Y,Human Resources,Travel_Frequently,23,Human Resources,1,80
515,37,Female,2,College,Married,Y,Research & Development,Travel_Frequently,5,Other,1,80
516,40,Female,4,Master,Single,Y,Sales,Non-Travel,10,Medical,1,80
517,42,Female,1,Below College,Single,Y,Research & Development,Travel_Frequently,4,Technical Degree,1,80
518,37,Male,5,Doctor,Married,Y,Sales,Travel_Rarely,2,Marketing,1,80
520,43,Male,5,Doctor,Single,Y,Sales,Travel_Rarely,18,Life Sciences,1,80
521,40,Female,2,College,Single,Y,Sales,Non-Travel,10,Life Sciences,1,80
522,54,Male,1,Below College,Single,Y,Sales,Travel_Rarely,2,Life Sciences,1,80
523,34,Female,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,24,Medical,1,80
524,31,Female,3,Bachelor,Married,Y,Sales,Travel_Rarely,2,Other,1,80
525,43,Male,4,Master,Divorced,Y,Human Resources,Travel_Frequently,17,Life Sciences,1,80
526,43,Female,3,Bachelor,Divorced,Y,Research & Development,Travel_Rarely,19,Technical Degree,1,80
527,25,Female,5,Doctor,Divorced,Y,Research & Development,Travel_Rarely,1,Medical,1,80
529,37,Female,3,Bachelor,Divorced,Y,Sales,Travel_Rarely,7,Life Sciences,1,80
530,31,Male,3,Bachelor,Single,Y,Sales,Travel_Frequently,5,Marketing,1,80
531,39,Male,3,Bachelor,Divorced,Y,Sales,Non-Travel,28,Other,1,80
532,56,Female,4,Master,Single,Y,Research & Development,Non-Travel,2,Other,1,80
533,30,Female,2,College,Divorced,Y,Sales,Travel_Rarely,29,Medical,1,80
534,41,Male,3,Bachelor,Single,Y,Sales,Travel_Rarely,1,Medical,1,80
536,28,Male,4,Master,Single,Y,Sales,Travel_Rarely,21,Life Sciences,1,80
538,25,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,24,Technical Degree,1,80
543,52,Male,1,Below College,Married,Y,Research & Development,Travel_Frequently,18,Medical,1,80
544,45,Male,5,Doctor,Married,Y,Sales,Travel_Rarely,2,Life Sciences,1,80
546,52,Female,4,Master,Divorced,Y,Sales,Non-Travel,9,Medical,1,80
547,42,Female,2,College,Divorced,Y,Research & Development,Travel_Rarely,6,Technical Degree,1,80
548,30,Female,4,Master,Married,Y,Sales,Non-Travel,11,Other,1,80
549,60,Female,3,Bachelor,Married,Y,Sales,Travel_Frequently,24,Medical,1,80
550,46,Female,4,Master,Divorced,Y,Research & Development,Travel_Rarely,18,Life Sciences,1,80
551,42,Female,2,College,Married,Y,Sales,Travel_Rarely,28,Marketing,1,80
554,24,Female,2,College,Married,Y,Research & Development,Travel_Rarely,17,Other,1,80
555,34,Female,3,Bachelor,Married,Y,Human Resources,Travel_Frequently,3,Medical,1,80
556,38,Male,1,Below College,Married,Y,Sales,Travel_Rarely,13,Medical,1,80
558,40,Female,4,Master,Married,Y,Sales,Travel_Frequently,12,Life Sciences,1,80
560,26,Female,4,Master,Divorced,Y,Sales,Travel_Rarely,13,Medical,1,80
562,30,Male,2,College,Single,Y,Research & Development,Travel_Rarely,25,Other,1,80
564,29,Male,4,Master,Divorced,Y,Sales,Travel_Rarely,6,Medical,1,80
565,29,Female,4,Master,Divorced,Y,Research & Development,Travel_Rarely,6,Medical,1,80
566,19,Male,4,Master,Divorced,Y,Research & Development,Travel_Rarely,6,Other,1,80
567,30,Female,5,Doctor,Divorced,Y,Research & Development,Travel_Frequently,9,Medical,1,80
568,57,Male,4,Master,Single,Y,Human Resources,Travel_Rarely,1,Life Sciences,1,80
569,50,Male,3,Bachelor,Divorced,Y,Sales,Travel_Rarely,14,Technical Degree,1,80
571,30,Female,1,Below College,Divorced,Y,Sales,Travel_Rarely,2,Marketing,1,80
573,60,Female,1,Below College,Single,Y,Sales,Travel_Rarely,22,Technical Degree,1,80
574,47,Female,4,Master,Married,Y,Research & Development,Travel_Rarely,3,Other,1,80
575,46,Male,1,Below College,Married,Y,Research & Development,Travel_Rarely,6,Medical,1,80
577,35,Male,4,Master,Divorced,Y,Sales,Travel_Rarely,8,Marketing,1,80
578,54,Female,3,Bachelor,Divorced,Y,Research & Development,Travel_Frequently,3,Medical,1,80
579,34,Male,1,Below College,Single,Y,Sales,Travel_Rarely,1,Medical,1,80
580,46,Female,5,Doctor,Married,Y,Research & Development,Travel_Rarely,1,Life Sciences,1,80
581,31,Male,4,Master,Married,Y,Sales,Travel_Frequently,26,Life Sciences,1,80
582,33,Male,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,3,Other,1,80
584,33,Male,4,Master,Single,Y,Research & Development,Travel_Rarely,6,Life Sciences,1,80
585,30,Male,3,Bachelor,Divorced,Y,Research & Development,Travel_Frequently,6,Life Sciences,1,80
586,35,Male,4,Master,Married,Y,Human Resources,Travel_Rarely,19,Medical,1,80
587,31,Male,2,College,Divorced,Y,Research & Development,Travel_Rarely,9,Medical,1,80
590,34,Female,4,Master,Single,Y,Research & Development,Travel_Rarely,3,Medical,1,80
591,42,Male,1,Below College,Single,Y,Research & Development,Travel_Rarely,10,Medical,1,80
592,36,Male,3,Bachelor,Single,Y,Research & Development,Travel_Frequently,3,Life Sciences,1,80
593,22,Male,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,4,Medical,1,80
595,48,Female,3,Bachelor,Married,Y,Sales,Travel_Rarely,8,Life Sciences,1,80
597,55,Female,4,Master,Single,Y,Sales,Travel_Rarely,7,Marketing,1,80
599,41,Male,4,Master,Divorced,Y,Research & Development,Travel_Frequently,1,Life Sciences,1,80
600,35,Male,1,Below College,Married,Y,Sales,Travel_Rarely,2,Marketing,1,80
601,40,Female,1,Below College,Divorced,Y,Sales,Travel_Frequently,3,Medical,1,80
602,39,Female,2,College,Single,Y,Research & Development,Travel_Rarely,10,Life Sciences,1,80
604,31,Male,1,Below College,Married,Y,Research & Development,Travel_Rarely,28,Medical,1,80
605,42,Male,2,College,Single,Y,Sales,Travel_Rarely,3,Life Sciences,1,80
606,45,Male,4,Master,Single,Y,Research & Development,Travel_Rarely,2,Technical Degree,1,80
608,26,Female,3,Bachelor,Single,Y,Sales,Travel_Rarely,10,Marketing,1,80
611,29,Male,2,College,Married,Y,Sales,Travel_Frequently,8,Technical Degree,1,80
612,33,Female,4,Master,Single,Y,Research & Development,Travel_Rarely,1,Life Sciences,1,80
613,31,Male,2,College,Single,Y,Research & Development,Travel_Rarely,3,Life Sciences,1,80
614,18,Male,4,Master,Single,Y,Sales,Travel_Rarely,14,Marketing,1,80
615,40,Male,4,Master,Married,Y,Sales,Travel_Frequently,5,Life Sciences,1,80
616,41,Female,4,Master,Divorced,Y,Human Resources,Travel_Rarely,10,Human Resources,1,80
618,26,Male,4,Master,Single,Y,Sales,Travel_Rarely,16,Marketing,1,80
620,35,Female,2,College,Divorced,Y,Research & Development,Travel_Frequently,10,Life Sciences,1,80
621,34,Male,3,Bachelor,Married,Y,Human Resources,Travel_Rarely,1,Human Resources,1,80
622,26,Male,3,Bachelor,Married,Y,Research & Development,Non-Travel,8,Life Sciences,1,80
623,37,Female,3,Bachelor,Single,Y,Research & Development,Non-Travel,24,Medical,1,80
624,46,Female,3,Bachelor,Divorced,Y,Sales,Travel_Frequently,3,Medical,1,80
625,41,Female,5,Doctor,Divorced,Y,Sales,Travel_Rarely,27,Marketing,1,80
626,37,Male,3,Bachelor,Single,Y,Sales,Travel_Rarely,10,Life Sciences,1,80
630,52,Male,3,Bachelor,Divorced,Y,Research & Development,Travel_Frequently,19,Medical,1,80
631,32,Male,3,Bachelor,Married,Y,Sales,Travel_Frequently,15,Life Sciences,1,80
632,24,Male,2,College,Single,Y,Research & Development,Travel_Rarely,8,Medical,1,80
634,38,Female,1,Below College,Married,Y,Research & Development,Travel_Rarely,9,Medical,1,80
635,37,Female,3,Bachelor,Married,Y,Human Resources,Travel_Rarely,3,Human Resources,1,80
638,49,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,7,Medical,1,80
639,24,Male,3,Bachelor,Divorced,Y,Sales,Travel_Rarely,10,Marketing,1,80
641,26,Male,4,Master,Divorced,Y,Research & Development,Non-Travel,2,Life Sciences,1,80
643,24,Male,4,Master,Married,Y,Research & Development,Travel_Frequently,24,Life Sciences,1,80
644,50,Male,5,Doctor,Married,Y,Research & Development,Travel_Rarely,2,Medical,1,80
645,25,Male,5,Doctor,Divorced,Y,Research & Development,Travel_Rarely,8,Life Sciences,1,80
647,24,Female,4,Master,Married,Y,Sales,Travel_Rarely,3,Marketing,1,80
648,30,Male,4,Master,Single,Y,Research & Development,Travel_Rarely,1,Other,1,80
649,34,Male,1,Below College,Single,Y,Sales,Travel_Rarely,26,Medical,1,80
650,31,Male,2,College,Single,Y,Sales,Travel_Rarely,2,Technical Degree,1,80
652,35,Male,2,College,Single,Y,Sales,Travel_Frequently,27,Life Sciences,1,80
653,31,Male,3,Bachelor,Single,Y,Sales,Travel_Rarely,2,Other,1,80
655,27,Female,4,Master,Single,Y,Sales,Non-Travel,8,Life Sciences,1,80
656,37,Male,4,Master,Married,Y,Research & Development,Non-Travel,19,Medical,1,80
657,20,Female,2,College,Divorced,Y,Research & Development,Travel_Frequently,1,Life Sciences,1,80
659,42,Female,3,Bachelor,Single,Y,Sales,Travel_Rarely,8,Technical Degree,1,80
661,43,Male,4,Master,Divorced,Y,Research & Development,Travel_Rarely,19,Medical,1,80
662,38,Female,1,Below College,Married,Y,Sales,Travel_Frequently,8,Marketing,1,80
663,43,Male,1,Below College,Divorced,Y,Research & Development,Travel_Rarely,10,Life Sciences,1,80
664,48,Female,4,Master,Single,Y,Research & Development,Travel_Frequently,2,Life Sciences,1,80
665,44,Female,4,Master,Married,Y,Sales,Travel_Rarely,8,Life Sciences,1,80
666,34,Female,2,College,Married,Y,Research & Development,Travel_Frequently,2,Medical,1,80
667,27,Male,2,College,Married,Y,Sales,Travel_Rarely,8,Life Sciences,1,80
669,21,Male,3,Bachelor,Divorced,Y,Research & Development,Travel_Frequently,8,Life Sciences,1,80
671,44,Male,3,Bachelor,Divorced,Y,Research & Development,Non-Travel,9,Life Sciences,1,80
675,22,Male,4,Master,Married,Y,Research & Development,Travel_Rarely,11,Life Sciences,1,80
677,33,Male,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,7,Medical,1,80
679,32,Female,3,Bachelor,Single,Y,Sales,Travel_Rarely,16,Marketing,1,80
680,30,Female,2,College,Married,Y,Research & Development,Travel_Rarely,2,Other,1,80
682,53,Female,3,Bachelor,Married,Y,Human Resources,Travel_Rarely,13,Human Resources,1,80
683,34,Male,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,4,Life Sciences,1,80
684,45,Female,4,Master,Single,Y,Research & Development,Travel_Frequently,16,Medical,1,80
686,26,Female,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,29,Life Sciences,1,80
689,37,Male,3,Bachelor,Divorced,Y,Research & Development,Travel_Frequently,12,Life Sciences,1,80
690,29,Female,4,Master,Single,Y,Research & Development,Travel_Frequently,16,Life Sciences,1,80
691,35,Male,3,Bachelor,Married,Y,Sales,Travel_Rarely,11,Marketing,1,80
692,33,Male,1,Below College,Single,Y,Sales,Travel_Rarely,2,Medical,1,80
698,54,Male,2,College,Married,Y,Research & Development,Travel_Rarely,14,Life Sciences,1,80
699,36,Male,1,Below College,Divorced,Y,Research & Development,Travel_Rarely,5,Technical Degree,1,80
700,27,Male,4,Master,Married,Y,Sales,Travel_Rarely,2,Marketing,1,80
701,20,Male,2,College,Married,Y,Human Resources,Travel_Rarely,3,Human Resources,1,80
702,33,Male,2,College,Married,Y,Research & Development,Travel_Frequently,5,Medical,1,80
704,35,Male,3,Bachelor,Married,Y,Research & Development,Non-Travel,3,Medical,1,80
705,23,Male,4,Master,Married,Y,Sales,Travel_Rarely,26,Marketing,1,80
707,25,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,4,Medical,1,80
709,38,Female,3,Bachelor,Divorced,Y,Sales,Travel_Rarely,1,Medical,1,80
710,29,Male,1,Below College,Single,Y,Research & Development,Travel_Rarely,27,Medical,1,80
712,48,Male,4,Master,Divorced,Y,Sales,Travel_Rarely,13,Life Sciences,1,80
714,27,Female,4,Master,Divorced,Y,Research & Development,Travel_Frequently,5,Life Sciences,1,80
715,37,Male,2,College,Married,Y,Sales,Travel_Rarely,7,Marketing,1,80
716,50,Male,3,Bachelor,Divorced,Y,Sales,Travel_Rarely,9,Marketing,1,80
717,34,Female,2,College,Married,Y,Research & Development,Travel_Rarely,8,Medical,1,80
720,24,Female,4,Master,Married,Y,Research & Development,Travel_Frequently,25,Medical,1,80
721,39,Female,4,Master,Divorced,Y,Sales,Travel_Rarely,16,Marketing,1,80
722,32,Male,2,College,Divorced,Y,Human Resources,Travel_Rarely,8,Medical,1,80
723,50,Male,1,Below College,Single,Y,Research & Development,Travel_Frequently,2,Medical,1,80
724,38,Female,3,Bachelor,Married,Y,Human Resources,Travel_Rarely,8,Life Sciences,1,80
725,27,Female,1,Below College,Married,Y,Sales,Travel_Rarely,3,Other,1,80
727,32,Female,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,9,Life Sciences,1,80
728,47,Male,4,Master,Divorced,Y,Research & Development,Travel_Frequently,25,Life Sciences,1,80
729,40,Male,3,Bachelor,Divorced,Y,Research & Development,Non-Travel,1,Life Sciences,1,80
730,53,Male,1,Below College,Married,Y,Sales,Travel_Rarely,4,Marketing,1,80
731,41,Male,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,1,Technical Degree,1,80
732,60,Male,1,Below College,Married,Y,Research & Development,Non-Travel,4,Life Sciences,1,80
733,27,Male,2,College,Married,Y,Sales,Travel_Frequently,5,Life Sciences,1,80
734,41,Male,3,Bachelor,Married,Y,Sales,Travel_Rarely,9,Marketing,1,80
738,50,Male,3,Bachelor,Married,Y,Sales,Travel_Rarely,8,Marketing,1,80
741,28,Female,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,25,Technical Degree,1,80
742,36,Female,2,College,Married,Y,Sales,Travel_Frequently,21,Medical,1,80
743,38,Female,4,Master,Single,Y,Research & Development,Travel_Rarely,23,Life Sciences,1,80
744,44,Male,2,College,Married,Y,Sales,Travel_Rarely,2,Marketing,1,80
746,47,Female,2,College,Single,Y,Sales,Non-Travel,19,Medical,1,80
747,30,Male,3,Bachelor,Married,Y,Human Resources,Travel_Rarely,2,Life Sciences,1,80
749,29,Male,2,College,Divorced,Y,Human Resources,Travel_Rarely,3,Human Resources,1,80
752,42,Male,4,Master,Single,Y,Research & Development,Travel_Rarely,25,Life Sciences,1,80
754,43,Male,1,Below College,Divorced,Y,Research & Development,Travel_Rarely,7,Medical,1,80
757,34,Female,2,College,Married,Y,Research & Development,Travel_Rarely,9,Life Sciences,1,80
758,23,Male,4,Master,Single,Y,Sales,Travel_Rarely,5,Medical,1,80
760,39,Female,1,Below College,Divorced,Y,Research & Development,Travel_Frequently,2,Life Sciences,1,80
762,56,Male,3,Bachelor,Single,Y,Sales,Travel_Rarely,2,Medical,1,80
763,40,Female,1,Below College,Single,Y,Research & Development,Travel_Rarely,18,Other,1,80
764,27,Female,1,Below College,Married,Y,Research & Development,Travel_Rarely,14,Life Sciences,1,80
766,29,Male,1,Below College,Married,Y,Research & Development,Travel_Rarely,3,Life Sciences,1,80
769,53,Male,3,Bachelor,Divorced,Y,Research & Development,Travel_Rarely,9,Medical,1,80
771,35,Female,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,6,Medical,1,80
772,32,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,4,Life Sciences,1,80
773,38,Male,3,Bachelor,Divorced,Y,Research & Development,Travel_Rarely,10,Life Sciences,1,80
775,34,Female,2,College,Single,Y,Sales,Travel_Rarely,14,Medical,1,80
776,52,Male,4,Master,Married,Y,Sales,Travel_Rarely,7,Life Sciences,1,80
780,33,Male,1,Below College,Married,Y,Research & Development,Travel_Rarely,21,Life Sciences,1,80
781,25,Female,2,College,Married,Y,Research & Development,Travel_Rarely,8,Other,1,80
783,45,Male,2,College,Married,Y,Sales,Non-Travel,20,Marketing,1,80
784,23,Male,4,Master,Single,Y,Research & Development,Travel_Rarely,7,Other,1,80
785,47,Female,3,Bachelor,Married,Y,Research & Development,Non-Travel,1,Life Sciences,1,80
786,34,Male,2,College,Married,Y,Sales,Travel_Rarely,19,Marketing,1,80
787,55,Male,3,Bachelor,Single,Y,Sales,Travel_Frequently,1,Medical,1,80
789,36,Male,3,Bachelor,Single,Y,Sales,Travel_Rarely,21,Other,1,80
791,52,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,4,Technical Degree,1,80
792,26,Female,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,12,Medical,1,80
793,29,Female,4,Master,Divorced,Y,Research & Development,Travel_Frequently,9,Medical,1,80
796,26,Male,1,Below College,Married,Y,Sales,Travel_Rarely,3,Life Sciences,1,80
797,34,Female,4,Master,Married,Y,Sales,Travel_Rarely,1,Life Sciences,1,80
799,54,Female,2,College,Married,Y,Research & Development,Non-Travel,4,Life Sciences,1,80
800,27,Male,3,Bachelor,Married,Y,Sales,Travel_Frequently,20,Technical Degree,1,80
802,37,Female,3,Bachelor,Married,Y,Sales,Travel_Rarely,18,Medical,1,80
803,38,Female,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,2,Technical Degree,1,80
804,34,Female,2,College,Divorced,Y,Sales,Travel_Rarely,2,Medical,1,80
805,35,Female,2,College,Divorced,Y,Sales,Travel_Rarely,8,Other,1,80
806,30,Male,3,Bachelor,Single,Y,Sales,Non-Travel,10,Technical Degree,1,80
807,40,Female,4,Master,Divorced,Y,Sales,Travel_Rarely,3,Life Sciences,1,80
808,34,Female,5,Doctor,Single,Y,Sales,Travel_Rarely,2,Life Sciences,1,80
809,42,Male,3,Bachelor,Single,Y,Sales,Non-Travel,24,Life Sciences,1,80
811,23,Male,4,Master,Divorced,Y,Research & Development,Travel_Frequently,16,Medical,1,80
812,24,Male,4,Master,Divorced,Y,Sales,Non-Travel,8,Technical Degree,1,80
813,52,Female,2,College,Single,Y,Research & Development,Non-Travel,9,Medical,1,80
815,50,Male,3,Bachelor,Single,Y,Sales,Non-Travel,17,Life Sciences,1,80
816,29,Female,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,10,Life Sciences,1,80
817,33,Male,1,Below College,Single,Y,Research & Development,Travel_Rarely,13,Life Sciences,1,80
819,33,Female,4,Master,Married,Y,Research & Development,Travel_Frequently,1,Other,1,80
820,47,Female,3,Bachelor,Divorced,Y,Research & Development,Travel_Frequently,9,Medical,1,80
823,36,Female,4,Master,Married,Y,Research & Development,Travel_Rarely,16,Technical Degree,1,80
824,29,Male,2,College,Married,Y,Research & Development,Non-Travel,23,Life Sciences,1,80
825,58,Male,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,22,Life Sciences,1,80
826,35,Female,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,24,Life Sciences,1,80
827,42,Female,1,Below College,Married,Y,Research & Development,Travel_Frequently,10,Medical,1,80
828,28,Male,1,Below College,Divorced,Y,Research & Development,Travel_Rarely,17,Medical,1,80
829,36,Male,4,Master,Divorced,Y,Research & Development,Travel_Rarely,14,Other,1,80
830,32,Female,1,Below College,Married,Y,Research & Development,Travel_Frequently,1,Life Sciences,1,80
832,40,Male,2,College,Single,Y,Research & Development,Non-Travel,5,Life Sciences,1,80
833,30,Female,4,Master,Divorced,Y,Research & Development,Travel_Rarely,25,Medical,1,80
834,45,Female,2,College,Married,Y,Research & Development,Travel_Rarely,8,Life Sciences,1,80
836,42,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,11,Medical,1,80
837,38,Male,3,Bachelor,Single,Y,Research & Development,Travel_Frequently,5,Medical,1,80
838,34,Female,2,College,Married,Y,Research & Development,Travel_Rarely,2,Medical,1,80
840,49,Female,4,Master,Single,Y,Research & Development,Travel_Rarely,4,Life Sciences,1,80
842,55,Male,2,College,Single,Y,Research & Development,Travel_Rarely,7,Medical,1,80
843,43,Male,3,Bachelor,Divorced,Y,Research & Development,Travel_Rarely,10,Other,1,80
844,27,Male,2,College,Married,Y,Sales,Travel_Rarely,5,Marketing,1,80
845,35,Male,2,College,Married,Y,Research & Development,Travel_Rarely,11,Medical,1,80
846,28,Female,4,Master,Married,Y,Research & Development,Travel_Frequently,18,Medical,1,80
847,34,Male,1,Below College,Divorced,Y,Research & Development,Non-Travel,7,Life Sciences,1,80
